Image_Name,Expert_ID,Ear Shape,Snout Length,Pupil Shape,Fur Texture,Mouth Shape,Overall Vibe
01.jpg,Expert_1_Strict,1,5,1,6,4,7
01.jpg,Expert_2_Intuitive,2,3,5,4,4,7
01.jpg,Expert_3_Hesitant,1,2,5,3,4,6
01.jpg,Expert_4_Balanced,2,3,5,4,4,6
01.jpg,Expert_5_Dog_Biased,1,0,5,3,4,4
01.jpg,Expert_6_Cat_Biased,1,0,1,3,4,2
02.jpg,Expert_1_Strict,7,2,5,6,0,7
02.jpg,Expert_2_Intuitive,7,2,5,6,1,7
02.jpg,Expert_3_Hesitant,7,2,5,6,1,7
02.jpg,Expert_4_Balanced,7,2,5,6,4,7
02.jpg,Expert_5_Dog_Biased,7,0,7,3,0,7
02.jpg,Expert_6_Cat_Biased,7,0,7,7,5,7
03.jpg,Expert_1_Strict,7,1,5,3,4,6
03.jpg,Expert_2_Intuitive,7,1,5,3,4,6
03.jpg,Expert_3_Hesitant,7,1,5,6,4,4
03.jpg,Expert_4_Balanced,5,3,1,6,4,4
03.jpg,Expert_5_Dog_Biased,1,0,5,3,4,4
03.jpg,Expert_6_Cat_Biased,7,0,5,3,4,6
04.jpg,Expert_1_Strict,1,7,1,3,4,7
04.jpg,Expert_2_Intuitive,2,1,1,3,4,7
04.jpg,Expert_3_Hesitant,2,1,1,3,4,7
04.jpg,Expert_4_Balanced,2,1,5,3,4,6
04.jpg,Expert_5_Dog_Biased,1,0,3,3,4,7
04.jpg,Expert_6_Cat_Biased,1,0,1,3,4,2
05.jpg,Expert_1_Strict,1,3,1,6,4,7
05.jpg,Expert_2_Intuitive,2,1,5,3,4,7
05.jpg,Expert_3_Hesitant,2,1,5,3,4,7
05.jpg,Expert_4_Balanced,2,0,5,3,4,4
05.jpg,Expert_5_Dog_Biased,1,0,3,3,4,7
05.jpg,Expert_6_Cat_Biased,1,0,5,3,4,2
06.jpg,Expert_1_Strict,7,2,5,6,4,7
06.jpg,Expert_2_Intuitive,7,2,5,6,4,7
06.jpg,Expert_3_Hesitant,7,2,5,6,1,7
06.jpg,Expert_4_Balanced,7,2,5,6,4,7
06.jpg,Expert_5_Dog_Biased,7,0,7,3,0,7
06.jpg,Expert_6_Cat_Biased,7,0,7,6,5,7
07.jpg,Expert_1_Strict,7,2,5,6,4,7
07.jpg,Expert_2_Intuitive,7,2,5,6,4,7
07.jpg,Expert_3_Hesitant,7,2,5,7,6,7
07.jpg,Expert_4_Balanced,7,2,5,6,4,7
07.jpg,Expert_5_Dog_Biased,7,0,7,3,0,7
07.jpg,Expert_6_Cat_Biased,7,0,7,7,5,7
08.jpg,Expert_1_Strict,1,3,1,7,4,7
08.jpg,Expert_2_Intuitive,2,3,1,6,4,7
08.jpg,Expert_3_Hesitant,2,1,1,3,4,7
08.jpg,Expert_4_Balanced,2,3,5,6,4,7
08.jpg,Expert_5_Dog_Biased,1,0,3,3,4,7
08.jpg,Expert_6_Cat_Biased,1,0,5,3,4,2
09.jpg,Expert_1_Strict,7,1,5,7,0,7
09.jpg,Expert_2_Intuitive,7,1,5,7,6,7
09.jpg,Expert_3_Hesitant,7,2,5,7,6,7
09.jpg,Expert_4_Balanced,5,2,5,7,4,6
09.jpg,Expert_5_Dog_Biased,1,0,7,3,5,2
09.jpg,Expert_6_Cat_Biased,7,0,7,7,5,7
10.jpg,Expert_1_Strict,7,1,5,0,4,7
10.jpg,Expert_2_Intuitive,7,1,5,3,4,7
10.jpg,Expert_3_Hesitant,7,2,5,1,4,7
10.jpg,Expert_4_Balanced,7,1,5,3,4,6
10.jpg,Expert_5_Dog_Biased,7,0,7,0,0,7
10.jpg,Expert_6_Cat_Biased,7,0,7,1,5,7
11.jpg,Expert_1_Strict,2,0,5,3,4,0
11.jpg,Expert_2_Intuitive,2,0,5,3,4,6
11.jpg,Expert_3_Hesitant,2,0,5,3,4,0
11.jpg,Expert_4_Balanced,2,0,5,3,4,4
11.jpg,Expert_5_Dog_Biased,1,0,5,3,4,4
11.jpg,Expert_6_Cat_Biased,1,0,5,3,4,6
12.jpg,Expert_1_Strict,1,6,1,3,4,7
12.jpg,Expert_2_Intuitive,1,0,1,3,4,7
12.jpg,Expert_3_Hesitant,1,2,1,3,4,7
12.jpg,Expert_4_Balanced,6,3,1,5,4,7
12.jpg,Expert_5_Dog_Biased,1,0,3,3,4,7
12.jpg,Expert_6_Cat_Biased,1,0,5,3,4,2
